timestamp,entry_time,exit_time,side,entry_price,exit_price,quantity,position_size,gross_pnl,fees,slippage,funding,net_pnl,return_pct,holding_time_bars,holding_minutes,exit_reason,strategy,regime,signal_probability,expected_return,expected_value,equity_after
2025-08-24 23:35:00,2025-08-24 23:40:00,2025-08-25 01:35:00,LONG,113486.552772,112813.362814,0.2644013697401093,30000.0,-166.0255521009102,24.0,12.0,0.75,-202.7755521009102,-0.02027755521009102,24,120,max_hold,VOL_EXPANSION,HIGH_VOLATILITY,0.4755625627060341,-0.0007179208153524143,-0.0007179208153524143,9797.22444789909
2025-08-25 01:40:00,2025-08-25 01:45:00,2025-08-25 03:40:00,LONG,112736.03269800001,113325.70032599999,0.26076446877562987,29391.67334369727,165.55414593626867,23.51333867495782,11.75666933747891,0.7347918335924318,129.5493460902395,0.013223066061125095,24,120,max_hold,VOL_EXPANSION,HIGH_VOLATILITY,0.4755625627060341,-0.0007179208153524143,-0.0007179208153524143,9926.77379398933
2025-08-25 19:35:00,2025-08-25 19:40:00,2025-08-25 20:30:00,SHORT,111163.342884,109882.70137627106,0.2678433784486081,29780.32138196799,354.85250606321307,23.824257105574393,11.912128552787197,0.3412328491683833,318.7748875556831,0.032112637415864315,11,55,take_profit,ORNSTEIN_UHLENBECK,NO_TRADE,0.39391979301423025,-0.0004640027989382437,-0.0004640027989382437,10245.548681545013
2025-08-25 20:35:00,2025-08-25 20:40:00,2025-08-25 22:35:00,LONG,109544.25447,110478.99978000001,0.280642682015452,30736.64604463504,274.67902502262456,24.589316835708033,12.294658417854016,0.768416151115876,237.02663361794666,0.023134596397447735,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.48284734133790735,-0.0005706037793934026,-0.0005706037793934026,10482.57531516296
2025-08-25 22:40:00,2025-08-25 22:45:00,2025-08-26 00:40:00,SHORT,110551.525272,109240.123656,0.2844052700579349,31447.725945488877,385.47152682572334,25.158180756391104,12.579090378195552,0.786193148637222,346.9480625424995,0.033097597881375763,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.39391979301423025,-0.0004640027989382437,-0.0004640027989382437,10829.52337770546
2025-08-26 00:45:00,2025-08-26 00:50:00,2025-08-26 02:45:00,LONG,109501.896,109669.291754,0.2967534721694956,32488.57013311638,62.683235926360595,25.990856106493105,12.995428053246552,0.8122142533279095,22.88473751329303,0.002113180489586958,24,120,max_hold,MOMENTUM,HIGH_VOLATILITY,0.5089982481286829,-0.0006490732993168091,-0.0006490732993168091,10852.408115218754
2025-08-26 02:50:00,2025-08-26 02:55:00,2025-08-26 04:50:00,SHORT,109575.12059199999,110087.253048,0.29706298952650784,32557.22434565626,-139.08489169631355,26.04577947652501,13.022889738262505,0.8139306086414065,-178.96749151974248,-0.016491039557272952,24,120,max_hold,ORNSTEIN_UHLENBECK,HIGH_VOLATILITY,0.40112596762843067,-0.00028929859093905605,-0.00028929859093905605,10673.44062369901
2025-08-26 04:55:00,2025-08-26 05:00:00,2025-08-26 06:55:00,SHORT,110077.98999799999,110010.177636,0.2908294183724146,32020.321871097032,32.52345385658882,25.616257496877626,12.808128748438813,0.8005080467774258,-6.7014404355050425,-0.0006278613121831915,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.3866584311303274,-0.000526924037242394,-0.000526924037242394,10666.739183263506
2025-08-26 07:00:00,2025-08-26 07:05:00,2025-08-26 09:00:00,SHORT,109933.75885,110204.396472,0.2910281413185806,32000.21754979052,-65.94988710420118,25.600174039832417,12.800087019916209,0.800005438744763,-105.15015360269457,-0.009857759882952694,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.3866584311303274,-0.000526924037242394,-0.000526924037242394,10561.58902966081
2025-08-26 10:10:00,2025-08-26 10:15:00,2025-08-26 12:10:00,SHORT,110343.686848,109647.90519599999,0.28708874100973375,31684.76708898243,212.38250882418106,25.347813671185946,12.673906835592973,0.7921191772245608,173.56866914017758,0.016433954081410778,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.43406985032074125,-0.0006153701161473847,-0.0006153701161473847,10735.157698800987
2025-08-26 12:15:00,2025-08-26 12:20:00,2025-08-26 12:35:00,SHORT,109651.645284,110283.16761692782,0.2936484164773591,32205.473096402962,-172.52883802817576,25.76437847712237,12.882189238561185,0.13418947123501235,-211.3095952150943,-0.01968388366001326,4,20,stop_loss,ORNSTEIN_UHLENBECK,NO_TRADE,0.3866584311303274,-0.000526924037242394,-0.000526924037242394,10523.848103585893
2025-08-26 12:40:00,2025-08-26 12:45:00,2025-08-26 13:45:00,SHORT,110497.905998,109645.04283083539,0.28566360345748865,31571.54431075768,256.20934144441947,25.257235448606146,12.628617724303073,0.42753132920817694,217.8959569423021,0.020704969778883097,13,65,take_profit,ORNSTEIN_UHLENBECK,NO_TRADE,0.43406985032074125,-0.0006153701161473847,-0.0006153701161473847,10741.744060528195
2025-08-26 18:35:00,2025-08-26 18:40:00,2025-08-26 20:35:00,LONG,110658.117198,111199.785594,0.2912725974756007,32225.232181584586,170.697393024596,25.78018574526767,12.890092872633835,0.8056308045396147,131.2214836021549,0.012216031480804287,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.40409434801958166,-0.0007234345070650343,-0.0007234345070650343,10872.965544130351
2025-08-29 10:30:00,2025-08-29 10:35:00,2025-08-29 12:30:00,LONG,109989.25345199999,110738.59870743188,0.2966237099332206,32618.896632391054,235.36820198041684,26.095117305912844,13.047558652956422,0.8154724158097764,195.4100536057378,0.017972102717756493,24,120,take_profit,ORNSTEIN_UHLENBECK,NO_TRADE,0.48284734133790735,-0.0005706037793934026,-0.0005706037793934026,11068.375597736089
2025-08-29 12:35:00,2025-08-29 12:40:00,2025-08-29 13:35:00,SHORT,110667.232126,109837.73956699096,0.29998478438542264,33205.12679320827,262.06478422407463,26.564101434566616,13.282050717283308,0.4150640849151034,221.80356798730958,0.020039396569870378,12,60,take_profit,ORNSTEIN_UHLENBECK,NO_TRADE,0.3866584311303274,-0.000526924037242394,-0.000526924037242394,11290.179165723399
2025-08-29 19:15:00,2025-08-29 19:20:00,2025-08-29 21:00:00,SHORT,108598.13602800001,107486.573064921,0.311826377765265,33870.5374971702,360.09084926396565,27.09642999773616,13.54821499886808,0.740918007750598,318.7052862596108,0.0282285410693206,21,105,take_profit,ORNSTEIN_UHLENBECK,NO_TRADE,0.39391979301423025,-0.0004640027989382437,-0.0004640027989382437,11608.884451983009
2025-08-30 01:55:00,2025-08-30 02:00:00,2025-08-30 03:10:00,SHORT,107426.480406,108067.12065943012,0.3241257452881523,34826.65335594903,-193.6786025417372,27.861322684759223,13.930661342379612,0.5441664586867035,-236.01475302756273,-0.020330528226357454,15,75,stop_loss,MEAN_REVERSION,TRENDING,0.4124223602484472,-0.0002565041544720882,-0.0002565041544720882,11372.869698955446
2025-08-30 03:15:00,2025-08-30 03:20:00,2025-08-30 04:25:00,SHORT,108061.20343600001,108685.26455769359,0.31567097432197216,34118.60909686634,-183.31387590754463,27.294887277493075,13.647443638746537,0.4975630493293008,-224.75376987311353,-0.019762274238819096,14,70,stop_loss,MEAN_REVERSION,TRENDING,0.45963975983989325,-0.00046225649985731204,-0.00046225649985731204,11148.115929082333
2025-08-31 03:45:00,2025-08-31 03:50:00,2025-08-31 04:20:00,SHORT,109330.1296,108965.19755081512,0.30584120809173126,33444.347787246996,124.96400510796809,26.755478229797596,13.377739114898798,0.243865035948676,84.58692272732301,0.007587553203197257,7,35,take_profit,ORNSTEIN_UHLENBECK,MEAN_REVERTING,0.44855842185128986,-0.0007159063437208694,-0.0007159063437208694,11232.702851809656
2025-08-31 13:20:00,2025-08-31 13:25:00,2025-08-31 15:00:00,SHORT,108259.773714,108649.88775098845,0.31120856600646085,33698.10855542897,-107.90600540691759,26.958486844343174,13.479243422171587,0.7020439282381035,-149.04577960167046,-0.013268915021433002,20,100,stop_loss,ORNSTEIN_UHLENBECK,LOW_VOLATILITY,0.45892351274787535,-0.00038491967729582756,-0.00038491967729582756,11083.657072207985
2025-09-01 01:25:00,2025-09-01 01:30:00,2025-09-01 02:30:00,SHORT,108219.98167400001,107573.61320517826,0.30719207773038854,33250.971216623955,211.8172979438225,26.600776973299165,13.300388486649583,0.4502735685584494,171.4658589153153,0.015470151936156702,13,65,take_profit,ORNSTEIN_UHLENBECK,NO_TRADE,0.39391979301423025,-0.0004640027989382437,-0.0004640027989382437,11255.1229311233
2025-09-01 02:50:00,2025-09-01 02:55:00,2025-09-01 04:50:00,LONG,107623.790454,107437.528196,0.3137979226030259,33765.3687933699,-44.9515524128828,27.012295034695917,13.506147517347959,0.8441342198342474,-86.31412918476092,-0.007668874850409694,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.48284734133790735,-0.0005706037793934026,-0.0005706037793934026,11168.80880193854
2025-09-01 04:55:00,2025-09-01 05:00:00,2025-09-01 06:55:00,LONG,107430.571818,108043.13705,0.31195149689673024,33506.42640581562,204.53411845531053,26.805141124652497,13.402570562326249,0.8376606601453905,163.4887461081864,0.014637975186737023,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.48284734133790735,-0.0005706037793934026,-0.0005706037793934026,11332.297548046727
2025-09-01 07:10:00,2025-09-01 07:15:00,2025-09-01 07:30:00,SHORT,107979.3998,108716.20146169825,0.31478312834270217,33996.89264414018,-218.2903169164375,27.197514115312146,13.598757057656073,0.14165371935058407,-259.2282418087563,-0.022875170785948678,4,20,stop_loss,ORNSTEIN_UHLENBECK,NO_TRADE,0.3866584311303274,-0.000526924037242394,-0.000526924037242394,11073.06930623797
2025-09-01 07:45:00,2025-09-01 07:50:00,2025-09-01 09:45:00,LONG,108994.04445,109673.57089799999,0.3048409840001827,33219.20791871391,220.47929008797394,26.57536633497113,13.287683167485564,0.8304801979678478,179.78576038754937,0.01623630769530791,24,120,max_hold,ORNSTEIN_UHLENBECK,NO_TRADE,0.40409434801958166,-0.0007234345070650343,-0.0007234345070650343,11252.85506662552
2025-09-01 09:50:00,2025-09-01 09:55:00,2025-09-01 10:25:00,LONG,109621.909998,108829.51160947753,0.30801613394195165,33758.56519987656,-230.6141849315592,27.00685215990125,13.503426079950625,0.24615620458243326,-271.37061937599344,-0.02411571265863388,7,35,stop_loss,ORNSTEIN_UHLENBECK,NO_TRADE,0.42024720423778694,-0.00013360762953308042,-0.00013360762953308042,10981.484447249526
2025-09-01 21:25:00,2025-09-01 21:30:00,2025-09-01 23:10:00,SHORT,108091.117452,108763.25848877893,0.30472313754834607,32944.45334174858,-191.60082410075128,26.355562673398865,13.177781336699432,0.7206599168507501,-231.85482802770034,-0.02111325013857956,21,105,stop_loss,MEAN_REVERSION,TRENDING,0.45963975983989325,-0.00046225649985731204,-0.00046225649985731204,10749.629619221825
2025-09-02 01:45:00,2025-09-02 01:50:00,2025-09-02 03:15:00,LONG,109617.16905,110571.34622939609,0.2942544394731111,32248.888857665475,293.729172458788,25.79911108613238,12.89955554306619,0.6046666660812278,254.42583916350824,0.023668335391626855,18,90,take_profit,MEAN_REVERSION,TRENDING,0.42565597667638483,-0.0005421302006394861,-0.0005421302006394861,11004.055458385334
2025-09-02 06:20:00,2025-09-02 06:25:00,2025-09-02 08:20:00,LONG,110472.29003999999,110164.9626,0.2988873390465205,33012.166375156,-78.66714763704317,26.4097331001248,13.2048665500624,0.8253041593789,-119.10705144660928,-0.010823923225127612,24,120,max_hold,MEAN_REVERSION,TRENDING,0.4500970873786408,-0.00044867865494584185,-0.00044867865494584185,10884.948406938724
2025-09-02 09:25:00,2025-09-02 09:30:00,2025-09-02 11:25:00,LONG,110344.34445599999,109864.56269199999,0.2959950176955749,32654.84522081617,-128.9768690106711,26.123876176652935,13.061938088326468,0.8163711305204042,-168.9790544061709,-0.015524102465975258,24,120,max_hold,MEAN_REVERSION,TRENDING,0.42565597667638483,-0.0005421302006394861,-0.0005421302006394861,10715.969352532553
2025-09-02 14:40:00,2025-09-02 14:45:00,2025-09-02 16:25:00,LONG,111552.295998,110599.20453270168,0.2882445166326802,32147.90805759766,-261.9166088203725,25.718326446078127,12.859163223039063,0.7032354887599488,-301.1973339782497,-0.028107334396870624,21,105,stop_loss,MEAN_REVERSION,TRENDING,0.4500970873786408,-0.00044867865494584185,-0.00044867865494584185,10414.772018554304
2025-09-03 00:00:00,2025-09-03 00:05:00,2025-09-03 02:00:00,LONG,111332.262,111205.544442,0.28069639794863815,31244.316055662912,-23.076050875360444,24.99545284453033,12.497726422265165,0.7811079013915728,-61.35033804354751,-0.005890703890037112,24,120,max_hold,MEAN_REVERSION,TRENDING,0.42565597667638483,-0.0005421302006394861,-0.0005421302006394861,10353.421680510757
2025-09-03 02:15:00,2025-09-03 02:20:00,2025-09-03 04:15:00,SHORT,111243.73680200001,110942.173998,0.2791532708380366,31060.26504153227,96.58703170996142,24.848212033225817,12.424106016612908,0.7765066260383068,58.53820703408439,0.005653996218880613,24,120,max_hold,VOL_EXPANSION,TRENDING,0.4449968924798011,-0.0006392571087568396,-0.0006392571087568396,10411.959887544841
2025-09-03 04:20:00,2025-09-03 04:25:00,2025-09-03 06:20:00,SHORT,111059.773602,110833.36223999999,0.2811966157847417,31235.87966263452,76.14523158835246,24.98870373010762,12.49435186505381,0.7808969915658631,37.881279001625174,0.0036382467288353765,24,120,max_hold,VOL_EXPANSION,TRENDING,0.4449968924798011,-0.0006392571087568396,-0.0006392571087568396,10449.841166546466
2025-09-03 07:20:00,2025-09-03 07:25:00,2025-09-03 08:05:00,SHORT,110674.52066800001,111260.73042913484,0.283202072218253,31349.5234996394,-153.44532064396887,25.079618799711522,12.539809399855761,0.2939017828091194,-191.35865062634525,-0.01831211092843689,9,45,stop_loss,VOL_EXPANSION,TRENDING,0.4449968924798011,-0.0006392571087568396,-0.0006392571087568396,10258.482515920121
2025-09-03 08:10:00,2025-09-03 08:15:00,2025-09-03 10:10:00,SHORT,111203.744802,111361.437834,0.2766929523195106,30775.447547760363,-31.316108343517175,24.62035803820829,12.310179019104146,0.7693861886940091,-69.01603158952362,-0.0067277037790353265,24,120,max_hold,MOMENTUM,TRENDING,0.4597568037058483,-0.0006756929812810691,-0.0006756929812810691,10189.466484330598
